timestamp,runtime,model_accuracy,precision_0,precision_1,recall_0,recall_1,change_message,kernel
28:18.8,0.1141939163208007,0.6862745098039216,0.4285714285714285,0.7837837837837838,0.4285714285714285,0.7837837837837838,initial tracking run,
28:34.4,0.1148328781127929,0.7254901960784313,0.5,0.8108108108108109,0.5,0.8108108108108109,"no changes, another run",
29:38.2,0.1192431449890136,0.7254901960784313,0.5,0.7948717948717948,0.4285714285714285,0.8378378378378378,"no changes, another run",
31:36.4,0.1151301860809326,0.7843137254901961,0.8,0.782608696,0.2857142857142857,0.972972973,"changed kernel to rbf, added to performance tracker",rbf
32:01.4,0.1145410537719726,0.7254901960784313,0.5,0.7446808510638298,0.1428571428571428,0.945945946,"no changes, tracker test",rbf
32:46.1,0.1121869087219238,0.7843137254901961,0.8,0.782608696,0.2857142857142857,0.972972973,"changed kernel to poly, seems to struggle with healthy samples",poly
2024-01-08 21:35:22.202016,0.1140048503875732,0.7647058823529411,0.6666666666666666,0.7777777777777778,0.2857142857142857,0.945945945945946,added class_weight = balanced,poly
2024-01-09 10:55:51.298360,0.1168789863586425,0.7843137254901961,0.6666666666666666,0.8095238095238095,0.4285714285714285,0.918918918918919,"no change, initial run for the day",poly
2024-01-09 10:56:52.453805,0.11163330078125,0.7647058823529411,0.6,0.8048780487804879,0.4285714285714285,0.8918918918918919,no changes,poly
2024-01-09 10:57:07.272393,0.1093811988830566,0.7647058823529411,0.6,0.8048780487804879,0.4285714285714285,0.8918918918918919,no changes,poly
2024-01-09 10:57:17.352949,0.1142809391021728,0.7254901960784313,0.5,0.8108108108108109,0.5,0.8108108108108109,no changes,poly
2024-01-09 10:57:26.075776,0.10818982124328613,0.803921568627451,0.75,0.813953488372093,0.42857142857142855,0.9459459459459459,no changes,poly
